ID,SystemCodeNumber,Capacity,Latitude,Longitude,Occupancy,VehicleType,TrafficConditionNearby,QueueLength,IsSpecialDay,LastUpdatedDate,LastUpdatedTime,TrafficLevel,VehicleTypeWeight,Hour,Minute,Month,Date,OccRatio,BasePrice,Alpha,Beta,Gamma,Delta,Epsilon,Price_alpha,Price_beta,Price_gamma,Price_delta,Price_epsilon,PredictedPrice
10,BHMBCCMKT01,577,26.14453614,91.73617216,269,car,high,7,0,2016-10-04,13:02:00,3,1.0,13,2,10,4,0.4662045060658579,5,1.2,0.19,0.15,0.3,0.2,2.8,6.65,-2.25,0.0,1.0,13.2
11,BHMBCCMKT01,577,26.14453614,91.73617216,263,car,high,7,0,2016-10-04,13:29:00,3,1.0,13,29,10,4,0.4558058925476603,5,1.2,0.19,0.15,0.3,0.2,2.73,6.65,-2.25,0.0,1.0,13.13
12,BHMBCCMKT01,577,26.14453614,91.73617216,238,car,high,5,0,2016-10-04,14:02:00,3,1.0,14,2,10,4,0.4124783362218371,5,1.2,0.15,0.15,0.3,0.2,2.47,3.75,-2.25,0.0,1.0,9.97
13,BHMBCCMKT01,577,26.14453614,91.73617216,215,truck,average,3,0,2016-10-04,14:29:00,2,1.5,14,29,10,4,0.37261698440207974,10,1.5,0.11,0.1,0.3,0.3,5.59,3.3,-2.0,0.0,4.5,21.39
14,BHMBCCMKT01,577,26.14453614,91.73617216,192,bike,average,3,0,2016-10-04,14:57:00,2,0.5,14,57,10,4,0.3327556325823224,3,1.5,0.11,0.1,0.3,0.1,1.5,0.99,-0.6,0.0,0.15,5.04
15,BHMBCCMKT01,577,26.14453614,91.73617216,165,car,low,2,0,2016-10-04,15:30:00,1,1.0,15,30,10,4,0.28596187175043325,5,1.8,0.09,0.05,0.3,0.2,2.57,0.9,-0.25,0.0,1.0,9.22
16,BHMBCCMKT01,577,26.14453614,91.73617216,162,bike,low,1,0,2016-10-04,16:04:00,1,0.5,16,4,10,4,0.2807625649913345,3,1.8,0.07,0.05,0.3,0.1,1.52,0.21,-0.15,0.0,0.15,4.73
17,BHMBCCMKT01,577,26.14453614,91.73617216,143,car,average,2,0,2016-10-04,16:31:00,2,1.0,16,31,10,4,0.24783362218370883,5,1.5,0.09,0.1,0.3,0.2,1.86,0.9,-1.0,0.0,1.0,7.76
18,BHMBCCMKT01,577,26.14453614,91.73617216,54,car,low,1,0,2016-10-05,07:57:00,1,1.0,7,57,10,5,0.09358752166377816,5,3.0,0.07,0.05,0.3,0.2,1.4,0.35,-0.25,0.0,1.0,7.5
19,BHMBCCMKT01,577,26.14453614,91.73617216,59,car,average,1,0,2016-10-05,08:30:00,2,1.0,8,30,10,5,0.1022530329289428,5,2.5,0.07,0.1,0.3,0.2,1.28,0.35,-1.0,0.0,1.0,6.63
20,BHMBCCMKT01,577,26.14453614,91.73617216,71,car,low,2,0,2016-10-05,09:04:00,1,1.0,9,4,10,5,0.12305025996533796,5,3.0,0.09,0.05,0.3,0.2,1.85,0.9,-0.25,0.0,1.0,8.5
21,BHMBCCMKT01,577,26.14453614,91.73617216,83,car,average,2,0,2016-10-05,09:30:00,2,1.0,9,30,10,5,0.1438474870017331,5,2.5,0.09,0.1,0.3,0.2,1.8,0.9,-1.0,0.0,1.0,7.7
22,BHMBCCMKT01,577,26.14453614,91.73617216,114,car,low,3,0,2016-10-05,10:04:00,1,1.0,10,4,10,5,0.1975736568457539,5,3.0,0.11,0.05,0.3,0.2,2.96,1.65,-0.25,0.0,1.0,10.36
23,BHMBCCMKT01,577,26.14453614,91.73617216,128,truck,high,4,0,2016-10-05,10:30:00,3,1.5,10,30,10,5,0.2218370883882149,10,2.0,0.13,0.15,0.3,0.3,4.44,5.2,-4.5,0.0,4.5,19.64
24,BHMBCCMKT01,577,26.14453614,91.73617216,148,bike,average,4,0,2016-10-05,11:04:00,2,0.5,11,4,10,5,0.2564991334488735,3,1.5,0.13,0.1,0.3,0.1,1.15,1.56,-0.6,0.0,0.15,5.26
25,BHMBCCMKT01,577,26.14453614,91.73617216,162,car,average,4,0,2016-10-05,11:30:00,2,1.0,11,30,10,5,0.2807625649913345,5,1.5,0.13,0.1,0.3,0.2,2.11,2.6,-1.0,0.0,1.0,9.71
26,BHMBCCMKT01,577,26.14453614,91.73617216,178,car,high,6,0,2016-10-05,12:04:00,3,1.0,12,4,10,5,0.30849220103986136,5,1.2,0.17,0.15,0.3,0.2,1.85,5.1,-2.25,0.0,1.0,10.7
27,BHMBCCMKT01,577,26.14453614,91.73617216,183,car,high,7,0,2016-10-05,12:30:00,3,1.0,12,30,10,5,0.317157712305026,5,1.2,0.19,0.15,0.3,0.2,1.9,6.65,-2.25,0.0,1.0,12.3
28,BHMBCCMKT01,577,26.14453614,91.73617216,175,car,high,7,0,2016-10-05,12:57:00,3,1.0,12,57,10,5,0.30329289428076256,5,1.2,0.19,0.15,0.3,0.2,1.82,6.65,-2.25,0.0,1.0,12.22
29,BHMBCCMKT01,577,26.14453614,91.73617216,179,truck,high,6,0,2016-10-05,13:30:00,3,1.5,13,30,10,5,0.31022530329289427,10,1.2,0.17,0.15,0.3,0.3,3.72,10.2,-4.5,0.0,4.5,23.92
30,BHMBCCMKT01,577,26.14453614,91.73617216,174,car,average,4,0,2016-10-05,13:57:00,2,1.0,13,57,10,5,0.30155979202772965,5,1.5,0.13,0.1,0.3,0.2,2.26,2.6,-1.0,0.0,1.0,9.86
31,BHMBCCMKT01,577,26.14453614,91.73617216,158,car,high,5,0,2016-10-05,14:30:00,3,1.0,14,30,10,5,0.2738301559792028,5,1.2,0.15,0.15,0.3,0.2,1.64,3.75,-2.25,0.0,1.0,9.14
32,BHMBCCMKT01,577,26.14453614,91.73617216,145,car,average,3,0,2016-10-05,14:57:00,2,1.0,14,57,10,5,0.2512998266897747,5,1.5,0.11,0.1,0.3,0.2,1.88,1.65,-1.0,0.0,1.0,8.53
33,BHMBCCMKT01,577,26.14453614,91.73617216,129,car,low,2,0,2016-10-05,15:30:00,1,1.0,15,30,10,5,0.22357019064124783,5,1.8,0.09,0.05,0.3,0.2,2.01,0.9,-0.25,0.0,1.0,8.66
34,BHMBCCMKT01,577,26.14453614,91.73617216,121,car,low,2,0,2016-10-05,16:04:00,1,1.0,16,4,10,5,0.2097053726169844,5,1.8,0.09,0.05,0.3,0.2,1.89,0.9,-0.25,0.0,1.0,8.54
35,BHMBCCMKT01,577,26.14453614,91.73617216,114,bike,low,1,0,2016-10-05,16:30:00,1,0.5,16,30,10,5,0.1975736568457539,3,1.8,0.07,0.05,0.3,0.1,1.07,0.21,-0.15,0.0,0.15,4.28
36,BHMBCCMKT01,577,26.14453614,91.73617216,58,car,low,1,0,2016-10-06,07:57:00,1,1.0,7,57,10,6,0.10051993067590988,5,3.0,0.07,0.05,0.3,0.2,1.51,0.35,-0.25,0.0,1.0,7.61
37,BHMBCCMKT01,577,26.14453614,91.73617216,63,car,low,1,0,2016-10-06,08:30:00,1,1.0,8,30,10,6,0.10918544194107452,5,3.0,0.07,0.05,0.3,0.2,1.64,0.35,-0.25,0.0,1.0,7.74
38,BHMBCCMKT01,577,26.14453614,91.73617216,70,car,low,1,0,2016-10-06,08:57:00,1,1.0,8,57,10,6,0.12131715771230503,5,3.0,0.07,0.05,0.3,0.2,1.82,0.35,-0.25,0.0,1.0,7.92
39,BHMBCCMKT01,577,26.14453614,91.73617216,95,car,low,2,0,2016-10-06,09:30:00,1,1.0,9,30,10,6,0.16464471403812825,5,3.0,0.09,0.05,0.3,0.2,2.47,0.9,-0.25,0.0,1.0,9.12
40,BHMBCCMKT01,577,26.14453614,91.73617216,135,car,low,3,0,2016-10-06,10:03:00,1,1.0,10,3,10,6,0.2339688041594454,5,3.0,0.11,0.05,0.3,0.2,3.51,1.65,-0.25,0.0,1.0,10.91
41,BHMBCCMKT01,577,26.14453614,91.73617216,160,car,average,3,0,2016-10-06,10:30:00,2,1.0,10,30,10,6,0.2772963604852686,5,2.5,0.11,0.1,0.3,0.2,3.47,1.65,-1.0,0.0,1.0,10.12
42,BHMBCCMKT01,577,26.14453614,91.73617216,177,car,average,3,0,2016-10-06,10:57:00,2,1.0,10,57,10,6,0.30675909878682844,5,2.5,0.11,0.1,0.3,0.2,3.83,1.65,-1.0,0.0,1.0,10.48
43,BHMBCCMKT01,577,26.14453614,91.73617216,191,cycle,average,4,0,2016-10-06,11:30:00,2,0.3,11,30,10,6,0.3310225303292894,2,1.5,0.13,0.1,0.3,0.06,0.99,1.04,-0.4,0.0,0.04,3.67
44,BHMBCCMKT01,577,26.14453614,91.73617216,199,car,high,7,0,2016-10-06,12:04:00,3,1.0,12,4,10,6,0.34488734835355284,5,1.2,0.19,0.15,0.3,0.2,2.07,6.65,-2.25,0.0,1.0,12.47
45,BHMBCCMKT01,577,26.14453614,91.73617216,206,car,high,7,0,2016-10-06,12:30:00,3,1.0,12,30,10,6,0.35701906412478335,5,1.2,0.19,0.15,0.3,0.2,2.14,6.65,-2.25,0.0,1.0,12.54
46,BHMBCCMKT01,577,26.14453614,91.73617216,198,car,average,5,0,2016-10-06,12:57:00,2,1.0,12,57,10,6,0.3431542461005199,5,1.5,0.15,0.1,0.3,0.2,2.57,3.75,-1.0,0.0,1.0,11.32
47,BHMBCCMKT01,577,26.14453614,91.73617216,208,bike,high,7,0,2016-10-06,13:30:00,3,0.5,13,30,10,6,0.36048526863084923,3,1.2,0.19,0.15,0.3,0.1,1.3,3.99,-1.35,0.0,0.15,7.09
48,BHMBCCMKT01,577,26.14453614,91.73617216,200,car,average,5,0,2016-10-06,13:57:00,2,1.0,13,57,10,6,0.3466204506065858,5,1.5,0.15,0.1,0.3,0.2,2.6,3.75,-1.0,0.0,1.0,11.35
49,BHMBCCMKT01,577,26.14453614,91.73617216,175,cycle,average,3,0,2016-10-06,14:30:00,2,0.3,14,30,10,6,0.30329289428076256,2,1.5,0.11,0.1,0.3,0.06,0.91,0.66,-0.4,0.0,0.04,3.21
50,BHMBCCMKT01,577,26.14453614,91.73617216,158,car,low,2,0,2016-10-06,15:04:00,1,1.0,15,4,10,6,0.2738301559792028,5,1.8,0.09,0.05,0.3,0.2,2.46,0.9,-0.25,0.0,1.0,9.11
51,BHMBCCMKT01,577,26.14453614,91.73617216,153,bike,low,2,0,2016-10-06,15:31:00,1,0.5,15,31,10,6,0.2651646447140381,3,1.8,0.09,0.05,0.3,0.1,1.43,0.54,-0.15,0.0,0.15,4.97
52,BHMBCCMKT01,577,26.14453614,91.73617216,135,bike,low,1,0,2016-10-06,16:04:00,1,0.5,16,4,10,6,0.2339688041594454,3,1.8,0.07,0.05,0.3,0.1,1.26,0.21,-0.15,0.0,0.15,4.47
53,BHMBCCMKT01,577,26.14453614,91.73617216,129,car,low,2,0,2016-10-06,16:30:00,1,1.0,16,30,10,6,0.22357019064124783,5,1.8,0.09,0.05,0.3,0.2,2.01,0.9,-0.25,0.0,1.0,8.66
54,BHMBCCMKT01,577,26.14453614,91.73617216,58,car,low,2,0,2016-10-07,08:03:00,1,1.0,8,3,10,7,0.10051993067590988,5,3.0,0.09,0.05,0.3,0.2,1.51,0.9,-0.25,0.0,1.0,8.16
55,BHMBCCMKT01,577,26.14453614,91.73617216,61,car,average,2,0,2016-10-07,08:30:00,2,1.0,8,30,10,7,0.10571923743500866,5,2.5,0.09,0.1,0.3,0.2,1.32,0.9,-1.0,0.0,1.0,7.22
56,BHMBCCMKT01,577,26.14453614,91.73617216,75,car,low,1,0,2016-10-07,09:04:00,1,1.0,9,4,10,7,0.12998266897746968,5,3.0,0.07,0.05,0.3,0.2,1.95,0.35,-0.25,0.0,1.0,8.05
57,BHMBCCMKT01,577,26.14453614,91.73617216,103,car,low,2,0,2016-10-07,09:30:00,1,1.0,9,30,10,7,0.17850953206239167,5,3.0,0.09,0.05,0.3,0.2,2.68,0.9,-0.25,0.0,1.0,9.33
58,BHMBCCMKT01,577,26.14453614,91.73617216,128,bike,low,2,0,2016-10-07,09:57:00,1,0.5,9,57,10,7,0.2218370883882149,3,3.0,0.09,0.05,0.3,0.1,2.0,0.54,-0.15,0.0,0.15,5.54
59,BHMBCCMKT01,577,26.14453614,91.73617216,172,truck,high,5,0,2016-10-07,10:30:00,3,1.5,10,30,10,7,0.29809358752166376,10,2.0,0.15,0.15,0.3,0.3,5.96,7.5,-4.5,0.0,4.5,23.46
60,BHMBCCMKT01,577,26.14453614,91.73617216,188,car,average,3,0,2016-10-07,10:57:00,2,1.0,10,57,10,7,0.32582322357019067,5,2.5,0.11,0.1,0.3,0.2,4.07,1.65,-1.0,0.0,1.0,10.72
61,BHMBCCMKT01,577,26.14453614,91.73617216,199,bike,average,4,0,2016-10-07,11:30:00,2,0.5,11,30,10,7,0.34488734835355284,3,1.5,0.13,0.1,0.3,0.1,1.55,1.56,-0.6,0.0,0.15,5.66
62,BHMBCCMKT01,577,26.14453614,91.73617216,210,car,high,7,0,2016-10-07,12:03:00,3,1.0,12,3,10,7,0.36395147313691506,5,1.2,0.19,0.15,0.3,0.2,2.18,6.65,-2.25,0.0,1.0,12.58
63,BHMBCCMKT01,577,26.14453614,91.73617216,206,bike,high,7,0,2016-10-07,12:30:00,3,0.5,12,30,10,7,0.35701906412478335,3,1.2,0.19,0.15,0.3,0.1,1.29,3.99,-1.35,0.0,0.15,7.08
64,BHMBCCMKT01,577,26.14453614,91.73617216,200,car,high,7,0,2016-10-07,13:04:00,3,1.0,13,4,10,7,0.3466204506065858,5,1.2,0.19,0.15,0.3,0.2,2.08,6.65,-2.25,0.0,1.0,12.48
65,BHMBCCMKT01,577,26.14453614,91.73617216,201,car,high,7,0,2016-10-07,13:30:00,3,1.0,13,30,10,7,0.3483535528596187,5,1.2,0.19,0.15,0.3,0.2,2.09,6.65,-2.25,0.0,1.0,12.49
66,BHMBCCMKT01,577,26.14453614,91.73617216,193,bike,average,3,0,2016-10-07,14:03:00,2,0.5,14,3,10,7,0.3344887348353553,3,1.5,0.11,0.1,0.3,0.1,1.51,0.99,-0.6,0.0,0.15,5.05
67,BHMBCCMKT01,577,26.14453614,91.73617216,181,car,average,4,0,2016-10-07,14:30:00,2,1.0,14,30,10,7,0.31369150779896016,5,1.5,0.13,0.1,0.3,0.2,2.35,2.6,-1.0,0.0,1.0,9.95
68,BHMBCCMKT01,577,26.14453614,91.73617216,172,truck,low,2,0,2016-10-07,15:04:00,1,1.5,15,4,10,7,0.29809358752166376,10,1.8,0.09,0.05,0.3,0.3,5.37,1.8,-0.5,0.0,4.5,21.17
69,BHMBCCMKT01,577,26.14453614,91.73617216,159,cycle,low,2,0,2016-10-07,15:30:00,1,0.3,15,30,10,7,0.2755632582322357,2,1.8,0.09,0.05,0.3,0.06,0.99,0.36,-0.1,0.0,0.04,3.29
70,BHMBCCMKT01,577,26.14453614,91.73617216,158,cycle,low,2,0,2016-10-07,15:57:00,1,0.3,15,57,10,7,0.2738301559792028,2,1.8,0.09,0.05,0.3,0.06,0.99,0.36,-0.1,0.0,0.04,3.28
71,BHMBCCMKT01,577,26.14453614,91.73617216,132,car,low,2,0,2016-10-07,16:30:00,1,1.0,16,30,10,7,0.22876949740034663,5,1.8,0.09,0.05,0.3,0.2,2.06,0.9,-0.25,0.0,1.0,8.71
72,BHMBCCMKT01,577,26.14453614,91.73617216,58,car,low,1,0,2016-10-08,07:57:00,1,1.0,7,57,10,8,0.10051993067590988,5,3.0,0.07,0.05,0.3,0.2,1.51,0.35,-0.25,0.0,1.0,7.61
73,BHMBCCMKT01,577,26.14453614,91.73617216,61,car,average,2,0,2016-10-08,08:30:00,2,1.0,8,30,10,8,0.10571923743500866,5,2.5,0.09,0.1,0.3,0.2,1.32,0.9,-1.0,0.0,1.0,7.22
74,BHMBCCMKT01,577,26.14453614,91.73617216,75,truck,low,1,0,2016-10-08,08:57:00,1,1.5,8,57,10,8,0.12998266897746968,10,3.0,0.07,0.05,0.3,0.3,3.9,0.7,-0.5,0.0,4.5,18.6
75,BHMBCCMKT01,577,26.14453614,91.73617216,104,car,low,2,0,2016-10-08,09:30:00,1,1.0,9,30,10,8,0.18024263431542462,5,3.0,0.09,0.05,0.3,0.2,2.7,0.9,-0.25,0.0,1.0,9.35
76,BHMBCCMKT01,577,26.14453614,91.73617216,158,car,low,3,0,2016-10-08,10:04:00,1,1.0,10,4,10,8,0.2738301559792028,5,3.0,0.11,0.05,0.3,0.2,4.11,1.65,-0.25,0.0,1.0,11.51
77,BHMBCCMKT01,577,26.14453614,91.73617216,191,truck,average,3,0,2016-10-08,10:30:00,2,1.5,10,30,10,8,0.3310225303292894,10,2.5,0.11,0.1,0.3,0.3,8.28,3.3,-2.0,0.0,4.5,24.08
78,BHMBCCMKT01,577,26.14453614,91.73617216,223,truck,average,4,0,2016-10-08,10:57:00,2,1.5,10,57,10,8,0.38648180242634317,10,2.5,0.13,0.1,0.3,0.3,9.66,5.2,-2.0,0.0,4.5,27.36
79,BHMBCCMKT01,577,26.14453614,91.73617216,254,car,average,4,0,2016-10-08,11:30:00,2,1.0,11,30,10,8,0.44020797227036396,5,1.5,0.13,0.1,0.3,0.2,3.3,2.6,-1.0,0.0,1.0,10.9
80,BHMBCCMKT01,577,26.14453614,91.73617216,306,car,high,7,0,2016-10-08,12:04:00,3,1.0,12,4,10,8,0.5303292894280762,5,1.2,0.19,0.15,0.3,0.2,3.18,6.65,-2.25,0.0,1.0,13.58
81,BHMBCCMKT01,577,26.14453614,91.73617216,320,car,high,8,0,2016-10-08,12:30:00,3,1.0,12,30,10,8,0.5545927209705372,5,1.2,0.21,0.15,0.3,0.2,3.33,8.4,-2.25,0.0,1.0,15.48
82,BHMBCCMKT01,577,26.14453614,91.73617216,348,car,high,7,0,2016-10-08,13:04:00,3,1.0,13,4,10,8,0.6031195840554593,5,1.2,0.19,0.15,0.3,0.2,3.62,6.65,-2.25,0.0,1.0,14.02
83,BHMBCCMKT01,577,26.14453614,91.73617216,357,car,high,7,0,2016-10-08,13:30:00,3,1.0,13,30,10,8,0.6187175043327556,5,1.2,0.19,0.15,0.3,0.2,3.71,6.65,-2.25,0.0,1.0,14.11
84,BHMBCCMKT01,577,26.14453614,91.73617216,395,bike,average,4,0,2016-10-08,14:03:00,2,0.5,14,3,10,8,0.6845753899480069,3,1.5,0.13,0.1,0.3,0.1,3.08,1.56,-0.6,0.0,0.15,7.19
85,BHMBCCMKT01,577,26.14453614,91.73617216,400,car,average,4,0,2016-10-08,14:30:00,2,1.0,14,30,10,8,0.6932409012131716,5,1.5,0.13,0.1,0.3,0.2,5.2,2.6,-1.0,0.0,1.0,12.8
86,BHMBCCMKT01,577,26.14453614,91.73617216,395,car,average,4,0,2016-10-08,14:57:00,2,1.0,14,57,10,8,0.6845753899480069,5,1.5,0.13,0.1,0.3,0.2,5.13,2.6,-1.0,0.0,1.0,12.73
87,BHMBCCMKT01,577,26.14453614,91.73617216,406,car,average,3,0,2016-10-08,15:30:00,2,1.0,15,30,10,8,0.7036395147313691,5,1.5,0.11,0.1,0.3,0.2,5.28,1.65,-1.0,0.0,1.0,11.93
88,BHMBCCMKT01,577,26.14453614,91.73617216,381,car,low,2,0,2016-10-08,16:04:00,1,1.0,16,4,10,8,0.6603119584055459,5,1.8,0.09,0.05,0.3,0.2,5.94,0.9,-0.25,0.0,1.0,12.59
89,BHMBCCMKT01,577,26.14453614,91.73617216,365,truck,low,2,0,2016-10-08,16:30:00,1,1.5,16,30,10,8,0.6325823223570191,10,1.8,0.09,0.05,0.3,0.3,11.39,1.8,-0.5,0.0,4.5,27.19
90,BHMBCCMKT01,577,26.14453614,91.73617216,42,car,low,2,1,2016-10-09,08:04:00,1,1.0,8,4,10,9,0.07279029462738301,5,4.2,0.09,0.05,0.6,0.2,1.53,0.9,-0.25,3.0,1.0,11.18
91,BHMBCCMKT01,577,26.14453614,91.73617216,42,bike,low,2,1,2016-10-09,08:30:00,1,0.5,8,30,10,9,0.07279029462738301,3,4.2,0.09,0.05,0.6,0.1,0.92,0.54,-0.15,1.8,0.15,6.26
92,BHMBCCMKT01,577,26.14453614,91.73617216,43,car,low,2,1,2016-10-09,09:04:00,1,1.0,9,4,10,9,0.07452339688041594,5,4.2,0.09,0.05,0.6,0.2,1.56,0.9,-0.25,3.0,1.0,11.21
93,BHMBCCMKT01,577,26.14453614,91.73617216,43,cycle,low,2,1,2016-10-09,09:30:00,1,0.3,9,30,10,9,0.07452339688041594,2,4.2,0.09,0.05,0.6,0.06,0.63,0.36,-0.1,1.2,0.04,4.12
94,BHMBCCMKT01,577,26.14453614,91.73617216,50,car,average,3,1,2016-10-09,09:57:00,2,1.0,9,57,10,9,0.08665511265164645,5,3.5,0.11,0.1,0.6,0.2,1.52,1.65,-1.0,3.0,1.0,11.17
95,BHMBCCMKT01,577,26.14453614,91.73617216,64,cycle,high,5,1,2016-10-09,10:30:00,3,0.3,10,30,10,9,0.11091854419410745,2,2.8,0.15,0.15,0.6,0.06,0.62,1.5,-0.9,1.2,0.04,4.46
96,BHMBCCMKT01,577,26.14453614,91.73617216,100,truck,average,6,1,2016-10-09,11:04:00,2,1.5,11,4,10,9,0.1733102253032929,10,3.5,0.17,0.1,0.6,0.3,6.07,10.2,-2.0,6.0,4.5,34.77
97,BHMBCCMKT01,577,26.14453614,91.73617216,126,car,average,6,1,2016-10-09,11:30:00,2,1.0,11,30,10,9,0.21837088388214904,5,3.5,0.17,0.1,0.6,0.2,3.82,5.1,-1.0,3.0,1.0,16.92
98,BHMBCCMKT01,577,26.14453614,91.73617216,148,car,average,6,1,2016-10-09,11:57:00,2,1.0,11,57,10,9,0.2564991334488735,5,3.5,0.17,0.1,0.6,0.2,4.49,5.1,-1.0,3.0,1.0,17.59
99,BHMBCCMKT01,577,26.14453614,91.73617216,170,truck,high,9,1,2016-10-09,12:30:00,3,1.5,12,30,10,9,0.29462738301559793,10,2.8,0.23,0.15,0.6,0.3,8.25,20.7,-4.5,6.0,4.5,44.95
100,BHMBCCMKT01,577,26.14453614,91.73617216,189,car,high,8,1,2016-10-09,13:04:00,3,1.0,13,4,10,9,0.3275563258232236,5,2.8,0.21,0.15,0.6,0.2,4.59,8.4,-2.25,3.0,1.0,19.74
101,BHMBCCMKT01,577,26.14453614,91.73617216,205,bike,high,9,1,2016-10-09,13:30:00,3,0.5,13,30,10,9,0.35528596187175043,3,2.8,0.23,0.15,0.6,0.1,2.98,6.21,-1.35,1.8,0.15,12.79
102,BHMBCCMKT01,577,26.14453614,91.73617216,208,cycle,high,7,1,2016-10-09,14:03:00,3,0.3,14,3,10,9,0.36048526863084923,2,2.8,0.19,0.15,0.6,0.06,2.02,2.66,-0.9,1.2,0.04,7.01
103,BHMBCCMKT01,577,26.14453614,91.73617216,209,car,average,5,1,2016-10-09,14:30:00,2,1.0,14,30,10,9,0.36221837088388215,5,3.5,0.15,0.1,0.6,0.2,6.34,3.75,-1.0,3.0,1.0,18.09
104,BHMBCCMKT01,577,26.14453614,91.73617216,191,car,low,3,1,2016-10-09,15:04:00,1,1.0,15,4,10,9,0.3310225303292894,5,4.2,0.11,0.05,0.6,0.2,6.95,1.65,-0.25,3.0,1.0,17.35
105,BHMBCCMKT01,577,26.14453614,91.73617216,180,car,low,3,1,2016-10-09,15:30:00,1,1.0,15,30,10,9,0.3119584055459272,5,4.2,0.11,0.05,0.6,0.2,6.55,1.65,-0.25,3.0,1.0,16.95
106,BHMBCCMKT01,577,26.14453614,91.73617216,155,truck,low,3,1,2016-10-09,16:03:00,1,1.5,16,3,10,9,0.268630849220104,10,4.2,0.11,0.05,0.6,0.3,11.28,3.3,-0.5,6.0,4.5,34.58
107,BHMBCCMKT01,577,26.14453614,91.73617216,133,car,low,2,1,2016-10-09,16:30:00,1,1.0,16,30,10,9,0.23050259965337955,5,4.2,0.09,0.05,0.6,0.2,4.84,0.9,-0.25,3.0,1.0,14.49
108,BHMBCCMKT01,577,26.14453614,91.73617216,54,bike,low,1,0,2016-10-10,08:04:00,1,0.5,8,4,10,10,0.09358752166377816,3,3.0,0.07,0.05,0.3,0.1,0.84,0.21,-0.15,0.0,0.15,4.05
109,BHMBCCMKT01,577,26.14453614,91.73617216,56,truck,low,1,0,2016-10-10,08:30:00,1,1.5,8,30,10,10,0.09705372616984402,10,3.0,0.07,0.05,0.3,0.3,2.91,0.7,-0.5,0.0,4.5,17.61
110,BHMBCCMKT01,577,26.14453614,91.73617216,65,car,low,1,0,2016-10-10,09:04:00,1,1.0,9,4,10,10,0.11265164644714037,5,3.0,0.07,0.05,0.3,0.2,1.69,0.35,-0.25,0.0,1.0,7.79
111,BHMBCCMKT01,577,26.14453614,91.73617216,73,bike,low,2,0,2016-10-10,09:30:00,1,0.5,9,30,10,10,0.1265164644714038,3,3.0,0.09,0.05,0.3,0.1,1.14,0.54,-0.15,0.0,0.15,4.68
